,ID,Name,CellID,XCoordOrig,XCoord03min,YCoordOrig,YCoord03min,station_id
0,1,ALABAMA RIVER AT CLAIBORNE L&D NEAR MONROEVILLE,286259,-87.550545,-87.574997,31.615158,31.674999,02428400
1,2,"ALABAMA RIVER NEAR MONTGOMERY, AL.",286318,-86.408302,-86.425003,32.411526,32.424999,02420000
2,3,"Allegheny River at Franklin, PA",4807,-79.820335,-79.775002,41.38950300000001,41.325001,03025500
3,4,"Allegheny River at Kittanning, PA",3614,-79.53143299999998,-79.525002,40.820343,40.825001,03036500
4,5,"Allegheny River at Natrona, PA",3260,-79.718384,-79.724998,40.615345,40.625,03049500
5,6,"Allegheny River at Parker, PA",3929,-79.68115999999998,-79.675003,41.100616,41.125,03031500
6,7,"Allegheny River at West Hickory, PA",5263,-79.407822,-79.425003,41.57089600000001,41.575001,03016000
7,8,"Allegheny River bl Conewango Creek at Warren, PA",5633,-79.149765,-79.175003,41.843948,41.825001,03015310
8,9,"ALTAMAHA RIVER AT DOCTORTOWN, GA",327749,-81.827888,-81.824997,31.654659,31.674999,02226000
9,10,"ALTAMAHA RIVER AT US 221, NR CHARLOTTEVILLE, GA",327763,-82.51702900000002,-82.525002,31.957861,31.975,02224940
